Country Code,Country Name,Year,Unemployment Rate,Mean Years of Schooling,Minimum Wage (PPP),GDP (PPP),Inflation Rate - CPI (%),Labor force participation rate (%),Population growth (%),"Employment rate, male (%)"
JOR,Jordan,2023,17.969,10.23999977,798.506,119000000000.0,2.078994339,43.852,1.612250502,20.45760982
JOR,Jordan,2024,17.996,10.23999977,809.458,125000000000.0,1.56248,43.823,0.988722042,20.45760982
JPN,Japan,2015,3.385,12.5999999,1269.424,5200000000000.0,3.298013663551724,61.502,-0.106124994,33.17954257
JPN,Japan,2016,3.132,12.61399994,1241.23,5160000000000.0,3.345815487827586,61.825,-0.051137415,32.9129191
JPN,Japan,2017,2.822,12.62799997,1267.308,5260000000000.0,4.207002425137931,62.367,-0.081874296,33.00687578
JPN,Japan,2018,2.467,12.64200001,1325.184,5340000000000.0,4.528310806206897,63.154,-0.126880068,32.68259702
JPN,Japan,2019,2.351,12.65600004,1345.648,5400000000000.0,4.624918080103448,63.576,-0.140464978,32.57270339
JPN,Japan,2020,2.809,12.67000008,1383.735,5360000000000.0,7.93913779851724,63.565,-0.294194618,32.35756116
JPN,Japan,2021,2.828,12.68404671,1472.894,5570000000000.0,11.345335315793102,63.717,-0.459952416,32.1664266
JPN,Japan,2022,2.6,12.68404671,1616.07,5930000000000.0,16.37175425637931,64.154,-0.443851919,31.65637768
JPN,Japan,2023,2.6,12.68404671,1708.562,6210000000000.0,15.862202858068965,64.456,-0.487370782,31.92072527
JPN,Japan,2024,2.563,12.68404671,1805.801,6410000000000.0,7.048335517241378,64.729,-0.435651699,31.92072527
KAZ,Kazakhstan,2015,4.93,11.99777031,203.992,407000000000.0,6.646190061,79.879,1.492398798,29.34792835
KAZ,Kazakhstan,2016,4.96,12.06851355,196.792,423000000000.0,14.57517974,79.564,1.533352974,29.35497228
KAZ,Kazakhstan,2017,4.9,12.1392568,194.86,447000000000.0,7.616672251,79.434,1.55792352,29.46177712
KAZ,Kazakhstan,2018,4.85,12.21000004,215.62,475000000000.0,5.3,79.345,1.494233229,29.66829419
KAZ,Kazakhstan,2019,4.8,12.32137247,321.983,551000000000.0,5.4,79.305,1.45157996,29.67383445
KAZ,Kazakhstan,2020,4.89,12.43376078,310.857,566000000000.0,7.5,77.567,1.408915638,29.96898415
KAZ,Kazakhstan,2021,5.546,12.54717423,298.537,650000000000.0,8.513405017,78.411,1.333257227,30.47258574
